site,depth,fraction.name,fraction.code,pct.n.pre.ashing,pct.c.pre.ashing,pct.n.post.ashing,pct.c.post.ashing,pct.mass.loss,c.in.org.fract,org.c.in.t.frac,n.in.org.fract,org.n.in.t.frac,species,mean.c.pre,mean.n.pre,mean.c.post,mean.n.post,mean.pct.mass.loss,fraction.id,c.in.org.fraction.bulk,org.c.in.total.bulk,n.in.org.fraction.bulk,org.n.in.total.bulk,sample,soil.start.wt,weight.g,orgc.weight,totwt,pct.c.cont.by.fraction
131M,1,Silt + Clay,sc,0.246229446,3.302334334,0.004164963,0.399050592,10.19567456,28.87469215,2.943969642,2.378352974,0.242489129,quercus,4.57209454,0.333024305,1.013294618,0.002762472,9.154929577,fraction.sc,39.88633992,3.651566331,3.610237879,0.330514735,32A,10.879,8.749,0.257567904,0.335314382,76.81385534
131M,1,Sand + Agg,sa,0.062007451,1.512182663,0.003042684,0.430045651,3.436123348,31.92300741,1.096913911,1.719068595,0.059069317,quercus,4.57209454,0.333024305,1.013294618,0.002762472,9.154929577,fraction.sa,39.88633992,3.651566331,3.610237879,0.330514735,32A,10.879,2.458,0.026962144,0.335314382,8.040855215
131M,1,POM,pom,1.673687839,27.94184576,0.004104227,0.088536306,56.66666667,49.24143534,27.90348003,2.950428248,1.671909341,quercus,4.57209454,0.333024305,1.013294618,0.002762472,9.154929577,fraction.pom,39.88633992,3.651566331,3.610237879,0.330514735,32A,10.879,0.182,0.050784334,0.335314382,15.14528945
131M,2,Silt + Clay,sc,0.175344057,2.622886346,0.003339881,0.378640976,9.259259259,24.61649097,2.27930472,1.860984982,0.172313424,quercus,2.947085555,0.180276705,0.967127034,0.008704102,6.465740078,fraction.sc,31.58943008,2.042490441,2.662268906,0.172135388,32B,10.455,8.9,0.20285812,0.234835007,86.38325381
131M,2,Sand + Agg,sa,0.03187701,1.222353681,0.003423858,0.526409259,2.58780037,27.41969013,0.709566843,1.102934946,0.028541755,quercus,2.947085555,0.180276705,0.967127034,0.008704102,6.465740078,fraction.sa,31.58943008,2.042490441,2.662268906,0.172135388,32B,10.455,2.011,0.014269389,0.234835007,6.076346706
131M,2,POM,pom,1.72286944,30.53016837,0.095801787,0.414269183,100,30.53016837,30.53016837,1.72286944,1.72286944,quercus,2.947085555,0.180276705,0.967127034,0.008704102,6.465740078,fraction.pom,31.58943008,2.042490441,2.662268906,0.172135388,32B,10.455,0.058,0.017707498,0.234835007,7.540399486
131N1,1,POM,pom,1.04,18.71,0.004575909,0.605778891,37.47943402,48.91019325,18.33126361,2.767221926,1.037139116,fagus,4.971198542,0.349405411,0.578546458,0.003018163,9.691954023,fraction.pom,45.90121383,4.448724541,3.576985262,0.346679767,1A,10.364,0.596,0.109254331,0.465058131,23.49261822
131N1,1,Sand + Agg,sa,0.1,1.98,0.003834351,0.540328706,3.751959248,38.91151557,1.459944207,2.566912536,0.096309512,fagus,4.971198542,0.349405411,0.578546458,0.003018163,9.691954023,fraction.sa,45.90121383,4.448724541,3.576985262,0.346679767,1A,10.364,3.245,0.04737519,0.465058131,10.18693931
131N1,1,Silt + Clay,sc,0.396141868,5.125028521,0.013651776,0.499295543,11.20376729,41.78659524,4.681672889,3.427593552,0.384019605,fagus,4.971198542,0.349405411,0.578546458,0.003018163,9.691954023,fraction.sc,45.90121383,4.448724541,3.576985262,0.346679767,1A,10.364,6.588,0.30842861,0.465058131,66.32044247
131N1,2,POM,pom,1.11,19.51,0.026134973,1.030448158,36.76880223,51.2892293,18.85843529,2.973919402,1.093474544,fagus,2.631511717,0.166789963,0.941436945,0.002980409,5.274736019,fraction.pom,32.98237257,1.739733086,3.108530211,0.163966763,1B,10.301,0.114,0.021498616,0.198813284,10.81347072
