"site","species","depth","pct.mass.loss.fraction","pct.mass.loss.bulk","soil.mass.pre.fract","fraction.mass","org.c.mass.fraction","sum.org.c.mass.fraction","inorg.c.mass.frac","inorg.c.mass.bulk","org.c.start.mass.bulk","sa","sc"
"160L1","fagus",2,9.81,6.896551724,10.765,7.553,0.21401992,0.292031361,0.05109038,0.078776921,NA,NA,0.158250184
"160L1","fagus",2,2.21,6.896551724,10.765,2.883,0.029019557,0.292031361,0.021144643,0.078776921,NA,0.158250184,NA
"160L1","fagus",2,49.07,6.896551724,10.765,0.188,0.048991884,0.292031361,0.000564916,0.078776921,0.158250184,NA,NA
"135J","acer",1,48.62876254,11.02665062,10.088,0.308,0.072651175,0.510975127,0.000221625,0.05366468,0.49111477,NA,NA
"135J","acer",1,9.959739264,11.02665062,10.088,2.457,0.11184633,0.510975127,0.01321497,0.05366468,NA,0.49111477,NA
"135J","acer",1,10.79610073,11.02665062,10.088,7.376,0.326477621,0.510975127,0.027570379,0.05366468,NA,NA,0.49111477
"133U2","populus",1,13.55,14.39393939,10.488,6.888,0.408863414,0.642993216,0.033346186,0.066030325,NA,NA,0.661360495
"133U2","populus",1,3.82,14.39393939,10.488,3.053,0.115667485,0.642993216,0.022022816,0.066030325,NA,0.661360495,NA
"133U2","populus",1,44.79,14.39393939,10.488,0.526,0.118462317,0.642993216,0.000203283,0.066030325,0.661360495,NA,NA
"159L","fraxinus",1,8.87,13.38971451,11.045,3.438,0.138495842,0.659042246,0.010025758,0.053584226,NA,0.667247108,NA
"159L","fraxinus",1,13.56,13.38971451,11.045,7.061,0.416515398,0.659042246,0.021972702,0.053584226,NA,NA,0.667247108
"159L","fraxinus",1,52.22,13.38971451,11.045,0.393,0.104031006,0.659042246,0.000506994,0.053584226,0.667247108,NA,NA
"133V1","acer",1,13.57388316,14.28571429,10.459,7.82,0.416124625,0.600179997,0.020069986,0.063761977,NA,NA,0.621492302
"133V1","acer",1,7.536231884,14.28571429,10.459,2.196,0.067007325,0.600179997,0.006577155,0.063761977,NA,0.621492302,NA
"133V1","acer",1,52.63157895,14.28571429,10.459,0.438,0.117048046,0.600179997,0.000291822,0.063761977,0.621492302,NA,NA
"133U1","picea",1,9.87,18.8976378,10.295,3.141,0.145420133,0.786476652,0.005661967,0.048042256,NA,0.784644118,NA
"133U1","picea",1,54.55,18.8976378,10.295,0.631,0.173370121,0.786476652,2.87e-05,0.048042256,0.784644118,NA,NA
"133U1","picea",1,17.33294141,18.8976378,10.295,6.706,0.467686397,0.786476652,0.025875203,0.048042256,NA,NA,0.784644118
"130T2","fraxinus",1,17.36111111,12.6984127,10.414,7.553,0.509724968,0.800843135,0.004797487,0.043858723,NA,NA,0.615611883
"130T2","fraxinus",1,8.64422202,12.6984127,10.414,2.634,0.099790053,0.800843135,0.004396343,0.043858723,NA,0.615611883,NA
"130T2","fraxinus",1,48.57768053,12.6984127,10.414,0.768,0.191328114,0.800843135,0.000187384,0.043858723,0.615611883,NA,NA
"158G","quercus",1,15.56948798,15.43624161,10.462,7.836,0.459145162,0.664318878,0.008322072,0.065213451,NA,NA,0.719060092
"158G","quercus",1,10.76759062,15.43624161,10.462,2.172,0.104867348,0.664318878,0.007598047,0.065213451,NA,0.719060092,NA
"158G","quercus",1,58.88501742,15.43624161,10.462,0.334,0.100306368,0.664318878,0.000303196,0.065213451,0.719060092,NA,NA
"134T","quercus",1,7.03,14.034906,10.28,2.55,0.079810971,0.629845962,0.003319029,0.042203197,NA,0.660638811,NA
"134T","quercus",1,12.14,14.034906,10.28,6.901,0.373683491,0.629845962,0.022433909,0.042203197,NA,NA,0.660638811
"134T","quercus",1,41.52,14.034906,10.28,0.845,0.1763515,0.629845962,0,0.042203197,0.660638811,NA,NA
"157L","quercus",1,16.85055165,17.6056338,10.415,7.485,0.487903739,0.798561818,0.004759132,0.048160752,NA,NA,0.818660354
"157L","quercus",1,15.90493601,17.6056338,10.415,2.143,0.155843044,0.798561818,0.003251457,0.048160752,NA,0.818660354,NA
"157L","quercus",1,55.18134715,17.6056338,10.415,0.548,0.154815036,0.798561818,0.000160264,0.048160752,0.818660354,NA,NA
"126Y","fraxinus",1,50.65717415,14.01273885,10.318,0.289,0.078441355,0.627234906,0.001842845,0.069911039,0.643558918,NA,NA
"126Y","fraxinus",1,12.12034384,14.01273885,10.318,3.627,0.20589657,0.627234906,0.01825203,0.069911039,NA,0.643558918,NA
"126Y","fraxinus",1,12.93240557,14.01273885,10.318,6.129,0.342896982,0.627234906,0.029746218,0.069911039,NA,NA,0.643558918
"127E","quercus",1,11.4,15,10.838,6.886,0.323556614,0.591672402,0.020743386,0.041908278,NA,NA,0.655213609
"127E","quercus",1,5.45,15,10.838,2.576,0.080520737,0.591672402,0.007063263,0.041908278,NA,0.655213609,NA
"127E","quercus",1,47.31,15,10.838,0.776,0.187595051,0.591672402,0.000817749,0.041908278,0.655213609,NA,NA
"158J1","picea",1,10.62,18.26086957,10.174,3.007,0.149357449,0.834209118,0.004300251,0.051670675,NA,0.809196113,NA
"158J1","picea",1,43.35,18.26086957,10.174,1.289,0.2777795,0.834209118,0,0.051670675,0.809196113,NA,NA
"158J1","picea",1,15.41568812,18.26086957,10.174,6.455,0.407072168,0.834209118,0.025412832,0.051670675,NA,NA,0.809196113
