"site","depth","mean.ph","depth_cm","species","avg.bd","pct.m","mean.c.pre","mean.n.pre","mean.c.post","mean.n.post","mean.pct.mass.loss"
"159P","4",7.351,"25_40","picea",0.851,25.803,2.686889684,0.147406588,0.908575229,0.002733331,5.714285714
"160D","1",6.218,"0_5","picea",0.471,63.608,8.225638378,0.551596026,0.487090252,0.004047546,16.78321678
"160D","2",7.284,"5_15","picea",0.895,30.661,3.866013831,0.240194908,0.744427581,0.003256441,6
"160D","3",7.3525,"15_25","picea",0.935,28.919,2.753129739,0.155762504,0.841387664,0.003250672,7.194244604
"160D","4",7.3885,"25_40","picea",0.909,27.959,2.32503316,0.134524944,0.715354248,0.00280191,5.952380952
"160L1","1",7.174,"0_5","fagus",0.851,29.032,3.947827154,0.298070073,0.51065314,0.004234238,12.29508197
"160L1","2",7.21,"5_15","fagus",0.829,46.375,2.151362884,0.202278603,0.73178747,0.003361966,6.896551724
"160L1","3",7.317,"15_25","fagus",1.059,19.802,2.5892922,0.156778182,0.91655232,0.003078531,4.375
"160L1","4",7.424,"25_40","fagus",0.86,18.315,1.767911813,0.102835752,0.79353253,0.00337626,3.825136612
"157L","2",NA,"5_15","quercus",0.981,28.827,3.295878031,0.223810716,0.869352515,0.003712676,7.382550336
"158N","3",NA,"15_25","fraxinus",0.962,27.033,2.818420357,0.172163472,1.002546589,0.003145037,3.125
"158J1","1",NA,"0_5","picea",0.683,43.969,8.3686974,0.57147338,0.507869812,0.004051991,18.26086957
"126F","3",NA,NA,NA,NA,NA,2.641666995,0.167317747,0.868560211,0.003333143,5.487804878
"130E","1",NA,NA,NA,NA,NA,8.661298745,0.630498777,0.374529621,0.003660695,17.44186047
"130E","2",NA,NA,NA,NA,NA,3.522244393,0.228831709,0.930794334,0.003355138,7.509881423
"130E","3",NA,NA,NA,NA,NA,2.710944481,0.162937139,0.753527703,0.003475598,8.484848485
"130E","4",NA,NA,NA,NA,NA,2.355951239,0.139734498,0.643369086,0.002903184,4.827586207
